G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"183.0","main.cluster index_upperinput":"183.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=105&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	7.0353	7.0353	0	N/A	N/A	217328248.22066128	60	183	105	60	607.2903	1	607.2903	217328248.22066128
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"185.0","main.cluster index_upperinput":"185.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=22&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.8672	3.8672	0	N/A	N/A	4892281.84570847	3	185	22	3	1015.4311	1	1015.4311	4892281.84570847
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"186.0","main.cluster index_upperinput":"186.0"}	This Node is a Singleton	N/A	N/A	N/A	5.1844	5.1844	0	N/A	N/A	104215450.25202508	57	186	-1	57	515.3181	1	515.3181	104215450.25202508
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"194.0","main.cluster index_upperinput":"194.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=22&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.5636	3.5636	0	N/A	N/A	2766553.640377349	3	194	22	3	973.4212	1	973.4212	2766553.640377349
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"201.0","main.cluster index_upperinput":"201.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=34&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	6.8302	6.8302	0	N/A	N/A	107249224.50681277	54	201	34	54	623.2849	1	623.2849	107249224.50681277
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"205.0","main.cluster index_upperinput":"205.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.8672	3.8672	0	N/A	N/A	3347084.5681021702	3	205	27	3	1055.4243	1	1055.4243	3347084.5681021702
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"207.0","main.cluster index_upperinput":"207.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.5636	3.5636	0	N/A	N/A	2694593.9455994507	3	207	27	3	1031.4241	1	1031.4241	2694593.9455994507
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"210.0","main.cluster index_upperinput":"210.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=31&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.1496	3.1496	0	N/A	N/A	1597069.183819925	3	210	31	3	764.3620	1	764.3620	1597069.183819925
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"212.0","main.cluster index_upperinput":"212.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=71&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	4.8062	4.8062	0	N/A	N/A	40367453.7244508	57	212	71	57	677.3707	1	677.3707	40367453.7244508
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"220.0","main.cluster index_upperinput":"220.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	7.3553	7.3553	0	N/A	N/A	33627062.37898615	53	220	12	53	775.5318	1	775.5318	33627062.37898615
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"222.0","main.cluster index_upperinput":"222.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=31&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.3152	3.3152	0	N/A	N/A	1722845.9179803152	3	222	31	3	798.3234	1	798.3234	1722845.9179803152
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"224.0","main.cluster index_upperinput":"224.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=27&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.3704	3.3704	0	N/A	N/A	1450351.96518802	3	224	27	3	997.4592	1	997.4592	1450351.96518802
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"230.0","main.cluster index_upperinput":"230.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=22&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	3.5636	3.5636	0	N/A	N/A	1414253.450144461	3	230	22	3	991.4313	1	991.4313	1414253.450144461
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"232.0","main.cluster index_upperinput":"232.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=105&task=ab918866206941ff8683138e0d31e807&show=true	 	Pheophorbide A	0.8267969999999999	6.5094	6.5094	0	 CCC1=C2C=C3C(=C4C(=O)C(C(=C5C(C(C(=N5)C=C6C(=C(C(=CC(=C1C)N2)N6)C=C)C)C)CCC(=O)O)C4=N3)C(=O)OC)C	CCMSLIB00000076748	17195016.896607507	33	232	105	33	593.2746	1	593.2746	17195016.896607507
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ab918866206941ff8683138e0d31e807&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"235.0","main.cluster index_upperinput":"235.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=59&task=ab918866206941ff8683138e0d31e807&show=true	N/A	N/A	N/A	6.6273	6.6273	0	N/A	N/A	40121556.665481746	43	235	59	43	639.3151	1	639.3151	40121556.665481746
