CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
783	800	1	0.9344	-30.995
976	1028	1	0.9412	2.015
788	801	1	0.9281	-30.994
783	1083	1	0.9719	14.015
784	1083	1	0.9736	42.046
1083	1544	1	0.96	-38.015
976	1006	1	0.9733	2.016
733	1099	1	0.9832	-34.077
783	1089	1	0.9795	-58.078
788	1089	1	0.9818	-70.078
783	797	1	0.9753	-14.015
520	801	1	0.9937	14.016
783	812	1	0.9867	26.016
797	1080	1	0.9586	-58.079
797	983	1	0.8143	-104.995
1006	1083	1	0.8231	137.172
1013	1100	1	0.9446	14.016
978	983	1	0.9924	-11.999
797	800	1	0.9179	-16.980
779	800	1	0.9922	28.031
783	788	1	0.993	12.000
779	784	1	0.9319	30.995
801	879	1	0.9821	-14.013
1083	1100	1	0.753	-224.213
978	992	1	0.9858	-14.015
779	1098	1	0.8863	16.979
977	1006	1	0.9135	2.016
779	1099	1	0.9964	-30.046
733	879	1	0.9606	21.987
801	978	1	0.8701	-88.017
976	977	1	0.9026	0.000
1080	1099	1	0.9203	-16.978
733	1544	1	0.8662	30.995
801	1099	1	0.9911	-70.078
784	1098	1	0.962	-14.016
733	801	1	0.9794	36.000
520	879	1	0.9822	0.003
812	1544	1	0.918	-50.016
621	779	1	0.9959	-26.016
733	747	1	0.9119	0.001
800	801	1	0.9915	12.000
977	1028	1	0.8932	2.015
783	1544	1	0.9243	-24.000
788	978	1	0.8093	-119.011
621	733	1	0.9822	-21.984
1083	1089	1	0.9563	-72.094
520	621	1	0.997	0.000
800	983	1	0.8798	-88.016
784	812	1	0.9874	54.047
1083	1092	1	0.9721	-16.031
520	733	1	0.984	-21.984
621	879	1	0.9814	0.003
621	1099	1	0.9946	-56.062
797	1098	1	0.9665	-28.032
621	800	1	0.9982	2.016
733	800	1	0.9794	24.000
621	801	1	0.9937	14.016
784	788	1	0.9932	40.031
812	1092	1	0.9847	-28.032
879	1099	1	0.9776	-56.065
1002	1013	1	0.7929	12.000
520	779	1	0.9965	-26.016
983	992	1	0.9842	-2.016
783	784	1	0.9967	-28.031
520	800	1	0.9953	2.016
797	1013	1	0.7206	-210.198
733	779	1	0.9843	-4.031
800	879	1	0.9783	-2.013
783	1092	1	0.9939	-2.016
879	1092	1	0.9261	30.992
812	1089	1	0.9699	-84.095
812	1083	1	0.9641	-12.001
1089	1544	1	0.9149	34.079
520	1092	1	0.9259	30.995
1092	1544	1	0.9201	-21.984
788	812	1	0.9856	14.017
788	1083	1	0.9669	2.016
784	1092	1	0.9976	26.015
520	1099	1	0.9954	-56.062
1089	1099	1	0.9224	-30.994
788	1092	1	0.9952	-14.015
788	1544	1	0.9219	-35.999
784	1544	1	0.9232	4.031
784	1089	1	0.9805	-30.047
1080	1098	1	0.9381	30.047
779	801	1	0.9928	40.031
1080	1089	1	0.9633	14.016
800	1099	1	0.9905	-58.077
1089	1092	1	0.9801	56.063
783	1002	1	0.9629	-236.213
1006	1028	1	0.9447	-0.000
779	879	1	0.9802	26.018
621	1092	1	0.9206	30.995
278	1482	2	0.7963	16.031
1463	2550	2	0.8487	26.016
251	311	2	0.9986	0.000
368	1459	2	0.8552	4.031
367	2090	2	0.8884	-179.079
1460	1462	2	0.9005	-14.015
1433	2084	2	0.8789	-112.988
368	1607	2	0.8444	18.010
368	374	2	0.9271	2.015
2085	2091	2	0.8023	-12.000
313	1434	2	0.9435	0.000
313	376	2	0.997	0.000
276	336	2	0.9967	0.000
1321	2259	2	0.839	-77.036
1607	1680	2	0.9387	-0.000
1256	1278	2	0.9974	0.000
1255	1265	2	0.8375	-4.030
292	307	2	0.9266	341.132
1717	2097	2	0.8479	15.995
1455	1483	2	0.8669	-38.015
2085	2573	2	0.8316	50.016
2567	2580	2	0.7837	-74.037
1278	1434	2	0.9468	0.000
1723	2257	2	0.8247	15.995
1460	2246	2	0.8088	-40.031
1680	2070	2	0.9854	-0.001
1434	2528	2	0.9345	0.000
263	1897	2	0.8612	2.016
381	2097	2	0.8799	30.011
2379	2566	2	0.8671	-28.030
240	2528	2	0.9291	0.001
367	2091	2	0.804	-359.222
1486	2259	2	0.8129	359.222
381	1717	2	0.957	14.016
381	2091	2	0.8308	-421.258
370	1459	2	0.8363	2.015
1256	1434	2	0.9418	0.000
1452	1463	2	0.8995	-28.031
285	2091	2	0.8069	-359.222
263	368	2	0.9008	-2.015
1760	1897	2	0.7817	213.085
374	1459	2	0.9149	2.016
1462	1725	2	0.7853	-56.070
368	2093	2	0.8947	-26.017
1469	1482	2	0.8094	14.016
285	367	2	0.9928	0.000
1483	2085	2	0.8937	14.016
803	2246	2	0.9138	-28.031
336	1763	2	0.801	-338.281
385	2490	2	0.9324	0.036
1256	2528	2	0.9326	0.001
251	1296	2	0.9068	0.000
1462	1466	2	0.7865	16.031
1463	1491	2	0.7835	-7.969
313	1256	2	0.9532	0.000
1452	2241	2	0.8406	-26.016
385	1723	2	0.9805	14.015
263	370	2	0.8104	0.000
285	2090	2	0.9014	-179.079
1466	2246	2	0.8623	-42.046
1492	2550	2	0.9282	14.015
803	1462	2	0.8557	-2.015
316	385	2	0.992	0.001
376	1434	2	0.938	0.000
370	1255	2	0.7814	-341.133
1486	2091	2	0.9024	4.031
326	1723	2	0.8123	-2.016
285	2490	2	0.8228	60.057
1278	1435	2	0.9498	0.000
251	1779	2	0.8837	-28.031
376	2528	2	0.9304	0.001
307	374	2	0.9312	2.015
1288	2087	2	0.8209	-28.031
1433	1763	2	0.8469	-4.031
307	1897	2	0.8367	4.032
328	1278	2	0.9486	0.000
1486	2379	2	0.8062	14.015
370	1232	2	0.8002	-179.080
278	326	2	0.8314	14.016
1435	2528	2	0.93	0.000
1460	2555	2	0.9052	-14.015
803	2241	2	0.7989	-236.214
326	1469	2	0.837	-12.000
1256	1435	2	0.9468	0.000
1463	2091	2	0.7839	-21.984
328	1256	2	0.9459	0.000
276	1763	2	0.8042	-338.281
240	328	2	0.9412	0.000
1321	2567	2	0.8526	15.012
1483	2070	2	0.8681	141.018
1232	2498	2	0.9014	2.016
365	1435	2	0.9446	0.000
2241	2249	2	0.928	14.015
240	376	2	0.9428	0.000
2259	2260	2	0.8065	94.064
384	1288	2	0.823	0.000
374	2093	2	0.8536	-28.032
2085	2550	2	0.8447	35.999
263	1232	2	0.9217	-179.079
1455	1486	2	0.9048	-40.030
374	1255	2	0.9098	-341.132
313	1830	2	0.9174	0.000
1723	2242	2	0.7835	-42.010
240	365	2	0.9932	0.000
385	1321	2	0.7831	12.983
1455	1492	2	0.8649	-2.014
240	1256	2	0.9953	0.000
263	374	2	0.9665	-0.000
1483	1607	2	0.8899	141.019
1433	1607	2	0.9516	0.001
1607	2085	2	0.7861	-127.003
1492	2573	2	0.8938	28.031
1433	1680	2	0.9872	0.000
1492	1725	2	0.8346	168.143
326	381	2	0.8439	-14.016
269	368	2	0.9552	179.080
365	2528	2	0.9321	0.001
353	384	2	0.8491	-0.000
1483	2084	2	0.9461	28.031
292	368	2	0.9268	341.133
285	353	2	0.8425	2.016
292	1265	2	0.9019	-2.015
313	2528	2	0.9351	0.001
1462	2555	2	0.907	0.000
313	365	2	0.9487	-0.000
1455	2573	2	0.8389	26.017
336	1433	2	0.7817	-334.250
376	1435	2	0.9403	0.000
1460	2428	2	0.8362	-70.082
312	1725	2	0.8069	162.053
1463	1486	2	0.9115	-26.015
1459	1897	2	0.8659	0.000
313	1435	2	0.9476	0.000
370	374	2	0.8113	-0.001
328	376	2	0.9941	0.000
240	1434	2	0.9371	0.000
328	1435	2	0.9441	0.000
2091	2097	2	0.8037	451.269
1232	1268	2	0.9167	-28.032
353	367	2	0.8425	-2.016
1723	2490	2	0.9185	-13.979
1232	1255	2	0.9617	-162.053
1607	2084	2	0.8558	-112.988
367	2259	2	0.8152	-4.032
1680	2084	2	0.8775	-112.988
368	1483	2	0.8252	-123.009
328	365	2	0.9445	-0.000
1483	1680	2	0.8556	141.019
326	378	2	0.8772	0.000
1463	1483	2	0.9003	-24.000
307	1459	2	0.8599	4.031
311	365	2	0.9067	18.010
263	2093	2	0.8375	-28.032
1460	1466	2	0.8421	2.015
1433	2070	2	0.9978	-0.000
367	381	2	0.8462	62.036
263	1459	2	0.9375	2.016
2551	2566	2	0.8377	-26.015
1321	1723	2	0.7835	1.032
1455	2085	2	0.9118	-23.999
1452	2550	2	0.8525	-2.016
384	2088	2	0.9013	-179.080
368	1897	2	0.8279	4.031
