row ID,row m/z,row retention time,19-131_pos_A.mzML Peak area,19-41.2_neg_A.mzML Peak area,19-55_neg_C.mzML Peak area,19-12.2_neg_C.mzML Peak area,19-4_neg_C.mzML Peak area,17-20_neg_B.mzML Peak area,19-84_neg_A.mzML Peak area,19-4_neg_B.mzML Peak area,17-10_neg_B.mzML Peak area,19-55_pos_C.mzML Peak area,19-8_neg_C.mzML Peak area,18-22_neg_C.mzML Peak area,19-98_neg_B.mzML Peak area,19-195_neg_C.mzML Peak area,19-10.1_neg_B.mzML Peak area,17-10_neg_C.mzML Peak area,18-22_neg_B.mzML Peak area,19-84_neg_B.mzML Peak area,17-10_neg_A.mzML Peak area,19-197_neg_A.mzML Peak area,19-41.2_pos_B.mzML Peak area,17-20_neg_C.mzML Peak area,19-55_neg_A.mzML Peak area,19-4_pos_B.mzML Peak area,19-196_neg_B.mzML Peak area,19-131_neg_B.mzML Peak area,19-84_neg_C.mzML Peak area,19-282_neg_B.mzML Peak area,19-13.4_neg_B.mzML Peak area,19-131_pos_C.mzML Peak area,19-196_pos_C.mzML Peak area,19-12.2_neg_A.mzML Peak area,19-41.2_neg_B.mzML Peak area,19-114_neg_A.mzML Peak area,19-131_pos_B.mzML Peak area,19-13.4_neg_A.mzML Peak area,19-8_neg_A.mzML Peak area,19-196_neg_A.mzML Peak area,19-12.2_pos_A.mzML Peak area,17-20_neg_A.mzML Peak area,19-8_neg_B.mzML Peak area,19-41.2_pos_C.mzML Peak area,19-55_pos_A.mzML Peak area,18-22_pos_B.mzML Peak area,17-10_pos_C.mzML Peak area,19-10.1_pos_C.mzML Peak area,19-55_neg_B.mzML Peak area,19-84_pos_C.mzML Peak area,19-197_neg_B.mzML Peak area,17-10_pos_A.mzML Peak area,19-4_neg_A.mzML Peak area,19-41.2_neg_C.mzML Peak area,19-13.4_neg_C.mzML Peak area,18-22_neg_A.mzML Peak area,19-10.1_neg_C.mzML Peak area,19-98_neg_C.mzML Peak area,19-197_neg_C.mzML Peak area,19-196_neg_C.mzML Peak area,19-131_neg_A.mzML Peak area,19-282_neg_C.mzML Peak area,19-388_neg_C.mzML Peak area,19-12.2_neg_B.mzML Peak area,19-131_neg_C.mzML Peak area,19-55_pos_B.mzML Peak area,19-98_neg_A.mzML Peak area,19-114_neg_C.mzML Peak area,19-195_neg_B.mzML Peak area,19-84_pos_B.mzML Peak area,19-4_pos_C.mzML Peak area,19-114_neg_B.mzML Peak area,19-4_pos_A.mzML Peak area,19-114_pos_C.mzML Peak area,19-10.1_neg_A.mzML Peak area,19-13.4_pos_C.mzML Peak area,19-12.2_pos_B.mzML Peak area,19-41.2_pos_A.mzML Peak area,19-114_pos_B.mzML Peak area,19-195_pos_B.mzML Peak area,19-12.2_pos_C.mzML Peak area,19-114_pos_A.mzML Peak area,19-84_pos_A.mzML Peak area,19-13.4_pos_A.mzML Peak area,19-8_pos_B.mzML Peak area,17-10_pos_B.mzML Peak area,19-196_pos_B.mzML Peak area,19-10.1_pos_A.mzML Peak area,19-251_neg_C.mzML Peak area,19-251_neg_A.mzML Peak area,19-388_neg_B.mzML Peak area,19-282_neg_A.mzML Peak area,19-195_neg_A.mzML Peak area,19-251_pos_B.mzML Peak area,19-197_pos_C.mzML Peak area,19-251_pos_C.mzML Peak area,19-251_neg_B.mzML Peak area,19-13.4_pos_B.mzML Peak area,19-388_neg_A.mzML Peak area,19-98_pos_B.mzML Peak area,18-22_pos_A.mzML Peak area,19-8_pos_A.mzML Peak area,19-196_pos_A.mzML Peak area,19-251_pos_A.mzML Peak area,19-388_pos_B.mzML Peak area,19-282_pos_A.mzML Peak area,19-197_pos_A.mzML Peak area,19-197_pos_B.mzML Peak area,19-98_pos_A.mzML Peak area,19-195_pos_C.mzML Peak area,19-282_pos_B.mzML Peak area,19-98_pos_C.mzML Peak area,19-282_pos_C.mzML Peak area,17-20_pos_A.mzML Peak area,19-8_pos_C.mzML Peak area,19-10.1_pos_B.mzML Peak area,17-20_pos_B.mzML Peak area,19-195_pos_A.mzML Peak area,18-22_pos_C.mzML Peak area,19-388_pos_A.mzML Peak area,19-388_pos_C.mzML Peak area,17-20_pos_C.mzML Peak area
183,607.2902603149410,7.035305000000000,4190980.8872649300,0,0,0,0,0,0,0,0,5586620.236887530,0,0,0,0,0,0,0,0,0,0,673776.6584191040,0,0,1796916.7623960400,0,0,0,0,0,4113899.1031781500,3479327.585609600,0,0,0,3962965.5400878300,0,0,0,1472548.9155461,0,0,716613.5248079980,6251490.953676770,1937645.7560174200,3166625.1585044000,765413.7888934280,0,6366952.459460800,0,3366080.3407249400,0,0,0,0,0,0,0,0,0,0,0,0,0,5731076.193972910,0,0,0,6754256.524652040,1799072.1537866200,0,1862283.6848697400,4066550.3212029000,0,3791808.542161800,1628631.408320990,648127.0767052580,4154335.776739380,5490359.4719465200,1656249.732838500,3948841.143682690,7082610.713648080,4094692.312879960,7111362.72749498,3084418.2437395300,3550648.801457820,770437.6261276610,0,0,0,0,0,4060352.6255217000,3317035.960243580,4042384.6628543700,0,3817470.711758150,0,4447881.191115010,1982540.1629730500,6688799.25690189,3615738.281370440,3923007.881979080,3166786.139274450,1272129.1931289100,3639320.002892110,3583604.5924742900,4329360.089777290,5529898.099877240,1375700.9756678700,4270821.740145260,1397315.7844274100,5555941.684930710,7084529.171950280,733688.4730426690,5389959.59643792,5478771.885908010,1946235.0484065700,2941721.5637081200,3230078.6983809600,5433554.6178116
185,1015.4311116536500,3.8671944444443300,1631908.0272382400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641075.0198221800,0,0,0,0,1619298.7986480500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,515.3180531284270,5.184395614035000,2146383.1867098400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836892.9761846520,0,0,1061981.124696580,0,0,0,0,0,2077437.9085654200,2413503.3969310500,0,0,0,2094274.964304780,0,0,0,1110997.3060487400,0,0,854724.194580599,0,4069780.7778042500,2526181.5378004400,716950.5709218750,0,1350649.6512353300,0,2447030.7031093300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373948.5575722700,1035913.5899133600,0,1073497.8938989000,2581430.4792158300,0,2033907.0832695800,1089323.5113953600,833028.3868358990,2535371.8430648200,1793443.125994870,1082706.0744094500,2512735.3465026700,1391662.838292710,1992734.1588664900,2498127.178658270,2527705.5490493100,2397038.6252857800,707178.3745293400,0,0,0,0,0,927262.7045823520,757783.3108050560,932065.0994808270,0,2004752.9667187800,0,2076682.6047457500,4116909.497035540,2513760.010582230,2411668.9691198300,896210.5753206180,2236735.3742562600,1820192.5447651400,748835.5402689550,748461.1908167040,2147179.2807992500,1711116.3942530600,1851633.860608480,2132191.0693904000,1909605.9639423900,1875021.8589521900,2438138.988021500,689090.285877811,1927325.2754244100,1752799.2700268200,3959771.809895220,2202305.1271124100,2343317.3627771100,1918092.400798250
194,973.421152750651,3.563616666666670,927770.3191912660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939550.623148525,0,0,0,0,899232.6980375580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,623.2849228470410,6.830237962963000,1202376.036648690,0,0,0,0,0,0,0,0,3679728.9140575300,0,0,0,0,0,0,0,0,0,0,103270.06536220800,0,0,317613.896546541,0,0,0,0,0,1126043.2974707700,958789.0134407910,0,0,0,1145285.6539206500,0,0,0,0,0,0,116716.40505412200,4189252.6377317800,1945506.6741272000,717808.903742852,146145.85054016800,0,3773325.6775338100,0,718020.2095646830,0,0,0,0,0,0,0,0,0,0,0,0,0,3849566.24143724,0,0,0,3842981.2628280500,302051.5011331350,0,322676.86354101600,1237364.4751838100,0,582821.8070914780,0,100619.21881621200,1217776.2895095000,8229566.468981430,0,1189210.227739290,4111100.1146223200,558693.8613199620,3581267.8915242600,713075.3216662770,1013970.8949302400,132824.20249072200,0,0,0,0,0,1724339.9227362000,3153570.265500100,1708553.7959889600,0,577260.2650933520,0,1049091.6368666000,1984788.4165011800,3311976.3145453100,977671.851251865,1686556.3543768500,1159437.988825280,0,3363485.1848967000,3224908.9517901800,1049918.554420630,8110549.498808870,0,1063458.4137817500,0,1913916.8836876200,3509447.0516338000,152236.11133300800,1975425.8875594300,8160815.305074960,1932611.79658954,1121655.2991578500,1159463.3421672900,2052635.5356687200
205,1055.42431640625,3.8671944444443300,1130463.7191946500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115529.8387740100,0,0,0,0,1101091.010133510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1031.4241129557300,3.563616666666670,899229.3269605080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898383.4494121450,0,0,0,0,896981.1692267980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,764.3620402018230,3.1496444444446700,541857.9674193150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516751.2691311410,0,0,0,0,538459.9472694690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,677.3706718578670,4.806246198830440,813993.5374365210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214296.0949440540,0,0,280375.67154748300,0,0,0,0,0,833898.5328004430,1117942.7846126100,0,0,0,850183.4118992450,0,0,0,337843.4719717010,0,0,212506.6601867130,0,1843030.5601676400,968394.2179894950,213842.11253552700,0,306524.29998819000,0,963471.687431996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320527.02539643800,269613.5301547180,0,277743.69468731700,1006091.9001494800,0,732949.495651022,313142.875265974,209868.3432994420,1001377.1879826600,609102.3743381320,386636.8907718080,1002081.6253065500,337154.0369660170,747472.7915895900,913999.8224705250,1005861.9765866600,1127639.013884110,223455.88124082200,0,0,0,0,0,446563.74516129700,403989.077803724,447852.2804033470,0,728817.7682309880,0,955417.6212740290,1836242.5757744900,956567.4936205940,1136246.4930742900,482460.22562385700,704260.7052677800,740646.2413698270,413321.3403379750,385966.78819174800,984969.6399825670,604959.2977060540,704058.9859685720,982718.0974003500,710053.6314205070,689813.4985417050,962625.2716247470,219342.71071522900,725663.3530265810,616309.433063963,1891505.8463119100,709650.6174891940,763653.8430830310,722755.6327295530
220,775.531843653265,7.355303144654110,714335.5994310840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156008.078723050,0,0,527764.8024605860,0,0,0,0,0,746106.5093423580,279141.8808133470,0,0,0,716871.9084300860,0,0,0,950818.844164759,0,0,1337880.8228088100,0,768821.7596128870,315667.44090234400,413832.8439434140,0,234322.7710281360,0,186851.21987158700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251719.75715179100,537046.0395738000,0,495485.010591078,808878.7089939770,0,497129.52370358200,957486.7758013290,1274223.8511867800,849427.6839600150,355395.87661045200,1091430.3040936800,747699.0570671830,0,371511.26302859300,405851.08395520200,326295.58625339600,280964.278183665,409983.24809302400,0,0,0,0,0,0,105082.52550734000,0,0,425052.0498005440,0,885395.7388939810,795374.3717912880,995445.1450824250,285574.3220946320,0,590025.3426434450,1571268.9609032600,89118.01102170590,101486.3642393780,840737.3768960930,411597.54632043500,1704002.0338789600,888933.6821011670,1736896.6294605700,338356.64983404200,470386.61202357600,398480.72916361200,290732.44567928800,361865.3849484270,810277.6841678930,645591.2599632500,586801.8947079500,289627.08808288300
