row ID,row m/z,row retention time,19-131_pos_A.mzML Peak area,19-41.2_neg_A.mzML Peak area,19-55_neg_C.mzML Peak area,19-12.2_neg_C.mzML Peak area,19-4_neg_C.mzML Peak area,17-20_neg_B.mzML Peak area,19-84_neg_A.mzML Peak area,19-4_neg_B.mzML Peak area,17-10_neg_B.mzML Peak area,19-55_pos_C.mzML Peak area,19-8_neg_C.mzML Peak area,18-22_neg_C.mzML Peak area,19-98_neg_B.mzML Peak area,19-195_neg_C.mzML Peak area,19-10.1_neg_B.mzML Peak area,17-10_neg_C.mzML Peak area,18-22_neg_B.mzML Peak area,19-84_neg_B.mzML Peak area,17-10_neg_A.mzML Peak area,19-197_neg_A.mzML Peak area,19-41.2_pos_B.mzML Peak area,17-20_neg_C.mzML Peak area,19-55_neg_A.mzML Peak area,19-4_pos_B.mzML Peak area,19-196_neg_B.mzML Peak area,19-131_neg_B.mzML Peak area,19-84_neg_C.mzML Peak area,19-282_neg_B.mzML Peak area,19-13.4_neg_B.mzML Peak area,19-131_pos_C.mzML Peak area,19-196_pos_C.mzML Peak area,19-12.2_neg_A.mzML Peak area,19-41.2_neg_B.mzML Peak area,19-114_neg_A.mzML Peak area,19-131_pos_B.mzML Peak area,19-13.4_neg_A.mzML Peak area,19-8_neg_A.mzML Peak area,19-196_neg_A.mzML Peak area,19-12.2_pos_A.mzML Peak area,17-20_neg_A.mzML Peak area,19-8_neg_B.mzML Peak area,19-41.2_pos_C.mzML Peak area,19-55_pos_A.mzML Peak area,18-22_pos_B.mzML Peak area,17-10_pos_C.mzML Peak area,19-10.1_pos_C.mzML Peak area,19-55_neg_B.mzML Peak area,19-84_pos_C.mzML Peak area,19-197_neg_B.mzML Peak area,17-10_pos_A.mzML Peak area,19-4_neg_A.mzML Peak area,19-41.2_neg_C.mzML Peak area,19-13.4_neg_C.mzML Peak area,18-22_neg_A.mzML Peak area,19-10.1_neg_C.mzML Peak area,19-98_neg_C.mzML Peak area,19-197_neg_C.mzML Peak area,19-196_neg_C.mzML Peak area,19-131_neg_A.mzML Peak area,19-282_neg_C.mzML Peak area,19-388_neg_C.mzML Peak area,19-12.2_neg_B.mzML Peak area,19-131_neg_C.mzML Peak area,19-55_pos_B.mzML Peak area,19-98_neg_A.mzML Peak area,19-114_neg_C.mzML Peak area,19-195_neg_B.mzML Peak area,19-84_pos_B.mzML Peak area,19-4_pos_C.mzML Peak area,19-114_neg_B.mzML Peak area,19-4_pos_A.mzML Peak area,19-114_pos_C.mzML Peak area,19-10.1_neg_A.mzML Peak area,19-13.4_pos_C.mzML Peak area,19-12.2_pos_B.mzML Peak area,19-41.2_pos_A.mzML Peak area,19-114_pos_B.mzML Peak area,19-195_pos_B.mzML Peak area,19-12.2_pos_C.mzML Peak area,19-114_pos_A.mzML Peak area,19-84_pos_A.mzML Peak area,19-13.4_pos_A.mzML Peak area,19-8_pos_B.mzML Peak area,17-10_pos_B.mzML Peak area,19-196_pos_B.mzML Peak area,19-10.1_pos_A.mzML Peak area,19-251_neg_C.mzML Peak area,19-251_neg_A.mzML Peak area,19-388_neg_B.mzML Peak area,19-282_neg_A.mzML Peak area,19-195_neg_A.mzML Peak area,19-251_pos_B.mzML Peak area,19-197_pos_C.mzML Peak area,19-251_pos_C.mzML Peak area,19-251_neg_B.mzML Peak area,19-13.4_pos_B.mzML Peak area,19-388_neg_A.mzML Peak area,19-98_pos_B.mzML Peak area,18-22_pos_A.mzML Peak area,19-8_pos_A.mzML Peak area,19-196_pos_A.mzML Peak area,19-251_pos_A.mzML Peak area,19-388_pos_B.mzML Peak area,19-282_pos_A.mzML Peak area,19-197_pos_A.mzML Peak area,19-197_pos_B.mzML Peak area,19-98_pos_A.mzML Peak area,19-195_pos_C.mzML Peak area,19-282_pos_B.mzML Peak area,19-98_pos_C.mzML Peak area,19-282_pos_C.mzML Peak area,17-20_pos_A.mzML Peak area,19-8_pos_C.mzML Peak area,19-10.1_pos_B.mzML Peak area,17-20_pos_B.mzML Peak area,19-195_pos_A.mzML Peak area,18-22_pos_C.mzML Peak area,19-388_pos_A.mzML Peak area,19-388_pos_C.mzML Peak area,17-20_pos_C.mzML Peak area
183,607.2902603149411,7.035305,4190980.8872649292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5586620.23688753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673776.658419104,0.0,0.0,1796916.76239604,0.0,0.0,0.0,0.0,0.0,4113899.1031781505,3479327.5856096,0.0,0.0,0.0,3962965.5400878307,0.0,0.0,0.0,1472548.9155461001,0.0,0.0,716613.524807998,6251490.95367677,1937645.75601742,3166625.1585044,765413.7888934279,0.0,6366952.4594608,0.0,3366080.34072494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5731076.19397291,0.0,0.0,0.0,6754256.52465204,1799072.15378662,0.0,1862283.68486974,4066550.3212029,0.0,3791808.5421618,1628631.40832099,648127.076705258,4154335.77673938,5490359.47194652,1656249.7328385,3948841.14368269,7082610.71364808,4094692.31287996,7111362.72749498,3084418.24373953,3550648.80145782,770437.626127661,0.0,0.0,0.0,0.0,0.0,4060352.6255217,3317035.96024358,4042384.6628543693,0.0,3817470.71175815,0.0,4447881.19111501,1982540.16297305,6688799.25690189,3615738.28137044,3923007.88197908,3166786.13927445,1272129.19312891,3639320.00289211,3583604.59247429,4329360.08977729,5529898.09987724,1375700.97566787,4270821.74014526,1397315.78442741,5555941.68493071,7084529.17195028,733688.473042669,5389959.59643792,5478771.88590801,1946235.04840657,2941721.56370812,3230078.69838096,5433554.6178116
185,1015.4311116536501,3.86719444444433,1631908.02723824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641075.01982218,0.0,0.0,0.0,0.0,1619298.79864805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,515.318053128427,5.184395614035,2146383.18670984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836892.9761846521,0.0,0.0,1061981.12469658,0.0,0.0,0.0,0.0,0.0,2077437.90856542,2413503.39693105,0.0,0.0,0.0,2094274.96430478,0.0,0.0,0.0,1110997.30604874,0.0,0.0,854724.1945805991,0.0,4069780.7778042494,2526181.53780044,716950.570921875,0.0,1350649.65123533,0.0,2447030.70310933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373948.55757227,1035913.58991336,0.0,1073497.8938989,2581430.47921583,0.0,2033907.08326958,1089323.51139536,833028.3868358991,2535371.84306482,1793443.12599487,1082706.07440945,2512735.34650267,1391662.83829271,1992734.15886649,2498127.17865827,2527705.54904931,2397038.62528578,707178.37452934,0.0,0.0,0.0,0.0,0.0,927262.7045823521,757783.3108050559,932065.099480827,0.0,2004752.96671878,0.0,2076682.60474575,4116909.49703554,2513760.01058223,2411668.96911983,896210.575320618,2236735.37425626,1820192.54476514,748835.540268955,748461.1908167041,2147179.28079925,1711116.39425306,1851633.86060848,2132191.0693904,1909605.96394239,1875021.85895219,2438138.9880215,689090.285877811,1927325.27542441,1752799.27002682,3959771.80989522,2202305.12711241,2343317.36277711,1918092.40079825
194,973.4211527506509,3.56361666666667,927770.319191266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939550.623148525,0.0,0.0,0.0,0.0,899232.698037558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,623.284922847041,6.830237962963,1202376.03664869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3679728.9140575295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103270.06536220801,0.0,0.0,317613.896546541,0.0,0.0,0.0,0.0,0.0,1126043.29747077,958789.0134407909,0.0,0.0,0.0,1145285.65392065,0.0,0.0,0.0,0.0,0.0,0.0,116716.40505412199,4189252.63773178,1945506.6741272,717808.903742852,146145.850540168,0.0,3773325.6775338096,0.0,718020.2095646829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3849566.24143724,0.0,0.0,0.0,3842981.2628280492,302051.501133135,0.0,322676.863541016,1237364.47518381,0.0,582821.807091478,0.0,100619.21881621199,1217776.2895095,8229566.46898143,0.0,1189210.22773929,4111100.11462232,558693.8613199621,3581267.89152426,713075.321666277,1013970.89493024,132824.202490722,0.0,0.0,0.0,0.0,0.0,1724339.9227362,3153570.2655001,1708553.79598896,0.0,577260.2650933521,0.0,1049091.6368666,1984788.41650118,3311976.31454531,977671.851251865,1686556.35437685,1159437.98882528,0.0,3363485.1848967,3224908.95179018,1049918.55442063,8110549.49880887,0.0,1063458.41378175,0.0,1913916.88368762,3509447.0516338,152236.111333008,1975425.88755943,8160815.30507496,1932611.79658954,1121655.29915785,1159463.34216729,2052635.53566872
205,1055.42431640625,3.86719444444433,1130463.71919465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115529.83877401,0.0,0.0,0.0,0.0,1101091.01013351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,1031.42411295573,3.56361666666667,899229.326960508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898383.449412145,0.0,0.0,0.0,0.0,896981.169226798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,764.362040201823,3.14964444444467,541857.967419315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516751.269131141,0.0,0.0,0.0,0.0,538459.947269469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,677.370671857867,4.806246198830441,813993.5374365209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214296.094944054,0.0,0.0,280375.671547483,0.0,0.0,0.0,0.0,0.0,833898.532800443,1117942.78461261,0.0,0.0,0.0,850183.411899245,0.0,0.0,0.0,337843.471971701,0.0,0.0,212506.660186713,0.0,1843030.56016764,968394.217989495,213842.112535527,0.0,306524.29998819,0.0,963471.687431996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320527.025396438,269613.530154718,0.0,277743.694687317,1006091.90014948,0.0,732949.4956510221,313142.87526597397,209868.343299442,1001377.18798266,609102.374338132,386636.890771808,1002081.62530655,337154.036966017,747472.79158959,913999.822470525,1005861.97658666,1127639.01388411,223455.881240822,0.0,0.0,0.0,0.0,0.0,446563.745161297,403989.077803724,447852.28040334705,0.0,728817.768230988,0.0,955417.621274029,1836242.57577449,956567.493620594,1136246.49307429,482460.22562385706,704260.70526778,740646.2413698271,413321.340337975,385966.78819174797,984969.639982567,604959.2977060539,704058.9859685721,982718.09740035,710053.631420507,689813.498541705,962625.2716247471,219342.71071522898,725663.3530265809,616309.433063963,1891505.84631191,709650.617489194,763653.8430830309,722755.6327295529
220,775.5318436532651,7.355303144654111,714335.5994310841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156008.07872305,0.0,0.0,527764.8024605861,0.0,0.0,0.0,0.0,0.0,746106.509342358,279141.880813347,0.0,0.0,0.0,716871.908430086,0.0,0.0,0.0,950818.844164759,0.0,0.0,1337880.82280881,0.0,768821.759612887,315667.440902344,413832.843943414,0.0,234322.77102813602,0.0,186851.219871587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251719.757151791,537046.0395738,0.0,495485.01059107797,808878.708993977,0.0,497129.523703582,957486.7758013291,1274223.85118678,849427.683960015,355395.876610452,1091430.30409368,747699.057067183,0.0,371511.263028593,405851.083955202,326295.586253396,280964.278183665,409983.248093024,0.0,0.0,0.0,0.0,0.0,0.0,105082.52550734,0.0,0.0,425052.049800544,0.0,885395.738893981,795374.371791288,995445.145082425,285574.32209463196,0.0,590025.342643445,1571268.96090326,89118.0110217059,101486.364239378,840737.376896093,411597.54632043507,1704002.03387896,888933.682101167,1736896.62946057,338356.649834042,470386.612023576,398480.729163612,290732.445679288,361865.38494842703,810277.684167893,645591.25996325,586801.89470795,289627.088082883
