17-10_neg_A,17-10_neg_B,17-10_neg_C,17-10_pos_A,17-10_pos_B,17-10_pos_C,17-10_neg_A_c631,17-10_neg_A_c779,17-10_neg_A_c986,17-10_neg_A_c1120,17-10_neg_A_c1250,17-10_neg_A_c1567,17-10_neg_A_c1841,17-10_neg_A_c1896,17-10_neg_A_c2024,17-10_neg_A_c2030,17-10_neg_A_c2310,17-10_neg_A_c2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-20_neg_A,17-20_neg_B,17-20_neg_C,17-20_pos_A,17-20_pos_B,17-20_pos_C,17-20_neg_A_c97,17-20_neg_A_c190,17-20_neg_A_c209,17-20_neg_A_c348,17-20_neg_A_c395,17-20_neg_A_c400,17-20_neg_A_c414,17-20_neg_A_c470,17-20_neg_A_c539,17-20_neg_A_c554,17-20_neg_A_c576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-22_neg_A,18-22_neg_B,18-22_neg_C,18-22_pos_A,18-22_pos_B,18-22_pos_C,18-22_neg_A_c98,18-22_neg_A_c231,18-22_neg_A_c436,18-22_neg_A_c641,18-22_neg_A_c927,18-22_neg_A_c1071,18-22_neg_A_c1592,18-22_neg_A_c1752,18-22_neg_A_c1832,18-22_neg_A_c1958,18-22_neg_A_c2121,18-22_neg_A_c2237,18-22_neg_A_c2667,18-22_neg_A_c2673,18-22_neg_A_c2692,18-22_neg_A_c3063,18-22_neg_A_c3066,,,,,,,,,,,,,,,,,,,,,,,,,
19-10.1_neg_A,19-10.1_neg_B,19-10.1_neg_C,19-10.1_pos_A,19-10.1_pos_B,19-10.1_pos_C,19-10.1_neg_A_c128,19-10.1_neg_A_c243,19-10.1_neg_A_c274,19-10.1_neg_A_c281,19-10.1_neg_A_c337,19-10.1_neg_A_c362,19-10.1_neg_A_c537,19-10.1_neg_A_c854,19-10.1_neg_A_c882,19-10.1_neg_A_c1023,19-10.1_neg_A_c1090,19-10.1_neg_A_c1252,19-10.1_neg_A_c1289,19-10.1_neg_A_c1442,19-10.1_neg_A_c1622,19-10.1_neg_A_c1706,19-10.1_neg_A_c1800,19-10.1_neg_A_c1915,19-10.1_neg_A_c1953,19-10.1_neg_A_c2194,19-10.1_neg_A_c2210,19-10.1_neg_A_c2246,19-10.1_neg_A_c2383,,,,,,,,,,,,,,,,,,,
19-114_neg_A,19-114_neg_B,19-114_neg_C,19-114_pos_A,19-114_pos_B,19-114_pos_C,19-114_neg_A_c292,19-114_neg_A_c336,19-114_neg_A_c489,19-114_neg_A_c554,19-114_neg_A_c571,19-114_neg_A_c719,19-114_neg_A_c719,19-114_neg_A_c736,19-114_neg_A_c981,19-114_neg_A_c982,19-114_neg_A_c1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-12.2_neg_A,19-12.2_neg_B,19-12.2_neg_C,19-12.2_pos_A,19-12.2_pos_B,19-12.2_pos_C,19-12.2_neg_A_c370,19-12.2_neg_A_c653,19-12.2_neg_A_c767,19-12.2_neg_A_c853,19-12.2_neg_A_c1162,19-12.2_neg_A_c1213,19-12.2_neg_A_c1257,19-12.2_neg_A_c1309,19-12.2_neg_A_c2075,19-12.2_neg_A_c2240,19-12.2_neg_A_c2399,19-12_neg_A_c2607,19-12.2_neg_A_c2896,19-12.2_neg_A_c2905,19-12.2_neg_A_c2962,19-12.2_neg_A_c3730,19-12.2_neg_A_c3755,19-12.2_neg_A_c4220,19-12.2_neg_A_c5038,19-12.2_neg_A_c6301,19-12.2_neg_A_c6648,,,,,,,,,,,,,,,,,,,,,
19-13.4_neg_A,19-13.4_neg_B,19-13.4_neg_C,19-13.4_pos_A,19-13.4_pos_B,19-13.4_pos_C,19-13.4_neg_A_c1759,19-13.4_neg_A_c2007,19-13.4_neg_A_c2274,19-13.4_neg_A_c2442,19-13.4_c_neg_A.2633,19-13.4_neg_A_c2921,19-13.4_neg_A_c3022,19-13.4_neg_A_c3712,19-13.4_neg_A_c4720,19-13.4_neg_A_c4893,19-13.4_neg_A_c6444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-131_neg_A,19-131_neg_B,19-131_neg_C,19-131_pos_A,19-131_pos_B,19-131_pos_C,19-131_neg_A_c181,19-131_neg_A_c278,19-131_neg_A_c331,19-131_neg_A_c351,19-131_neg_A_c428,19-131_neg_A_c444,19-131_neg_A_c462,19-131_neg_A_c483,19-131_neg_A_c518,19-131_neg_A_c530,19-131_neg_A_c556,19-131_neg_A_c676,19-131_neg_A_c1020,19-131_neg_A_c1393,19-131_neg_A_c1494,19-131_neg_A_c1502,19-131_neg_A_c1521,19-131_neg_A_c1541,19-131_neg_A_c1580,,,,,,,,,,,,,,,,,,,,,,,
19-195_neg_A,19-195_neg_B,19-195_neg_C,19-195_pos_A,19-195_pos_B,19-195_pos_C,19-195_neg_A_c598,19-195_neg_A_c1006,19-195_neg_A_c1262,19-195_neg_A_c2027,19-195_neg_A_c2209,19-195_neg_A_c2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-196_neg_A,19-196_neg_B,19-196_neg_C,19-196_pos_A,19-196_pos_B,19-196_pos_C,19-196_neg_A_c219,19-196_neg_A_c1198,19-196_neg_A_c1749,19-196_neg_A_c2147,19-196_neg_A_c2284,19-196_neg_A_c2391,19-196_neg_A_c3365,19-196_neg_A_c3660,19-196_neg_A_c4685,19-196_neg_A_c5123,19-196_neg_A_c6067,19-196_neg_A_c6104,19-196_neg_A_c7278,19-196_neg_A_c7534,19-196_neg_A_c8712,19-196_neg_A_c8753,19-196_neg_A_c8802,19-196_neg_A_c9711,19-196_neg_A_c11915,,,,,,,,,,,,,,,,,,,,,,,
19-197_neg_A,19-197_neg_B,19-197_neg_C,19-197_pos_A,19-197_pos_B,19-197_pos_C,19-197_neg_A_c41,19-197_neg_A_c134,19-197_neg_A_c165,19-197_neg_A_c203,19-197_neg_A_c305,19-197_neg_A_c541,19-197_neg_A_c595,19-197_neg_A_c672,19-197_neg_A_c1040,19-197_neg_A_c1232,19-197_neg_A_c1263,19-197_neg_A_c1283,19-197_neg_A_c1433,19-197_neg_A_c1528,19-197_neg_A_c1596,19-197_neg_A_c1619,19-197_neg_A_c1661,19-197_neg_A_c1710,,,,,,,,,,,,,,,,,,,,,,,,
19-251_neg_A,19-251_neg_B,19-251_neg_C,19-251_pos_A,19-251_pos_B,19-251_pos_C,19-251_neg_A_c1783,19-251_neg_A_c2460,19-251_neg_A_c2474,19-251_neg_A_c5450,19-251_neg_A_c362,19-251_neg_A_c736,19-251_neg_A_c747,19-251_neg_A_c2208,19-251_neg_A_c2262,19-251_neg_A_c2700,19-251_neg_A_c3459,19-251_neg_A_c5136,19-251_neg_A_c5215,19-251_neg_A_c5428,19-251_neg_A_c5717,19-251_neg_A_c5773, 19-251_neg_A_c5925,19-251_neg_A_c6232,19-251_neg_A_c3745,,,,,,,,,,,,,,,,,,,,,,,
