#BGC Name	Family Number
17-10_neg_A_c2310.region001	7
19-4_neg_A_c9712.region001	7
BGC0001631.1	7
18-22_neg_A_c1071.region001	23
18-22_neg_A_c2667.region001	31
19-41.2_neg_A_c1142.region001	31
19-84_neg_A_c1417.region001	31
BGC0001015.1	31
BGC0001016.1	31
BGC0001017.1	31
BGC0001667.1	31
BGC0001705.1	31
19-114_neg_A_c292.region001	65
19-114_neg_A_c336.region001	66
19-197_neg_A_c165.region001	66
17-10_neg_A_c631.region001	111
19-131_neg_A_c1521.region001	111
19-4_neg_A_c10937.region001	111
19-131_neg_A_c181.region001	114
19-41.2_neg_A_c1858.region001	114
17-20_neg_A_c414.region001	120
19-10.1_neg_A_c1023.region001	120
19-131_neg_A_c483.region001	120
19-251_neg_A_c3745.region001	120
19-41.2_neg_A_c1507.region001	120
19-8_neg_A_c775.region001	120
19-196_neg_A_c219.region001	134
19-196_neg_A_c7534.region001	144
19-12.2_neg_A_c370.region001	150
19-197_neg_A_c1040.region001	150
19-282_neg_A_c3186.region001	214
19-282_neg_A_c357.region001	218
19-338_neg_A_c1170.region001	230
19-338_neg_A_c2488.region001	235
19-338_neg_A_c5166.region001	240
19-114_neg_A_c719.region002	248
19-12.2_neg_A_c2399.region001	248
19-131_neg_A_c1580.region001	248
19-197_neg_A_c1232.region001	248
19-338_neg_A_c3005.region001	248
19-388_neg_A_c138.region001	248
17-10_neg_A_c1896.region001	287
17-20_neg_A_c348.region001	287
18-22_neg_A_c1592.region001	287
19-10.1_neg_A_c537.region001	287
19-114_neg_A_c1042.region001	287
19-12.2_neg_A_c2075.region001	287
19-131_neg_A_c1393.region001	287
19-195_neg_A_c1262.region001	287
19-196_neg_A_c1749.region001	287
19-197_neg_A_c1710.region001	287
19-251_neg_A_c5428.region001	287
19-338_neg_A_c1352.region001	287
19-388_neg_A_c1527.region001	287
19-4_neg_A_c4680.region001	287
19-8_neg_A_c9506.region001	287
17-20_neg_A_c400.region001	314
19-10.1_neg_A_c1622.region001	314
19-388_neg_A_c648.region001	314
19-388_neg_A_c656.region001	314
19-41.2_neg_A_c1586.region001	314
19-8_neg_A_c1375.region001	314
