#BGC Name	Family Number
17-20_neg_A_c576.region001	21
19-8_neg_A_c5764.region001	21
18-22_neg_A_c1832.region001	26
18-22_neg_A_c2673.region001	32
18-22_neg_A_c2692.region001	33
19-195_neg_A_c1006.region001	33
18-22_neg_A_c98.region001	39
19-10.1_neg_A_c2194.region001	39
19-251_neg_A_c5215.region001	39
19-10.1_neg_A_c362.region001	60
19-251_neg_A_c5925.region001	60
19-41.2_neg_A_c831.region001	60
19-84_neg_A_c590.region001	60
17-10_neg_A_c1250.region001	62
18-22_neg_A_c927.region001	62
19-10.1_neg_A_c854.region001	62
19-114_neg_A_c736.region001	62
19-12.2_neg_A_c2962.region001	62
19-131_neg_A_c278.region001	62
19-195_neg_A_c2516.region001	62
19-196_neg_A_c5123.region001	62
19-197_neg_A_c205.region001	62
19-251_neg_A_c1783.region001	62
19-10.1_neg_A_c882.region001	63
19-251_neg_A_c3459.region001	63
19-84_neg_A_c125.region001	63
19-12.2_neg_A_c2240.region001	80
19-12.2_neg_A_c2607.region001	82
19-197_neg_A_c41.region001	82
19-12.2_neg_A_c2896.region001	83
19-197_neg_A_c595.region001	83
19-12.2_neg_A_c2905.region001	84
19-12.2_neg_A_c653.region001	92
19-282_neg_A_c2155.region001	92
19-282_neg_A_c2894.region001	92
19-13.4_neg_A_c1759.region001	96
19-55_neg_A_c554.region001	96
19-131_neg_A_c1502.region001	110
19-131_neg_A_c351.region001	116
19-131_neg_A_c462.region001	121
19-131_neg_A_c518.region001	121
BGC0001167.1	121
19-195_neg_A_c2209.region001	128
18-22_neg_A_c436.region001	157
19-10.1_neg_A_c2210.region001	157
19-12.2_neg_A_c1309.region001	157
19-13.4_neg_A_c3022.region001	157
19-197_neg_A_c1596.region001	157
19-388_neg_A_c1462.region001	157
19-55_neg_A_c386.region001	157
19-84_neg_A_c275.region001	157
19-98_neg_A_c2852.region001	157
19-10.1_neg_A_c1252.region001	177
19-251_neg_A_c5136.region001	177
19-41.2_neg_A_c1846.region001	177
19-251_neg_A_c6232.region001	184
19-282_neg_A_c2888.region001	184
19-282_neg_A_c1466.region001	189
19-282_neg_A_c1946.region001	191
19-41.2_neg_A_c1009.region001	191
19-282_neg_A_c2506.region001	200
19-282_neg_A_c3084.region001	211
19-338_neg_A_c1846.region001	233
19-338_neg_A_c2124.region001	234
19-388_neg_A_c1637.region001	234
19-338_neg_A_c4483.region001	239
19-388_neg_A_c737.region001	239
19-84_neg_A_c731.region001	239
18-22_neg_A_c2237.region001	246
19-197_neg_A_c1433.region001	246
19-388_neg_A_c1213.region001	246
19-388_neg_A_c1386.region001	249
19-197_neg_A_c541.region001	255
19-338_neg_A_c1587.region001	255
19-388_neg_A_c261.region001	255
19-41.2_neg_A_c635.region001	272
19-84_neg_A_c777.region001	311
17-20_neg_A_c190.region001	316
19-131_neg_A_c483.region001	316
19-8_neg_A_c3189.region001	316
17-20_neg_A_c209.region001	317
19-8_neg_A_c5369.region001	317
17-20_neg_A_c470.region001	320
19-8_neg_A_c5910.region001	320
17-20_neg_A_c395.region001	322
19-8_neg_A_c7468.region001	322
19-98_neg_A_c1015.region001	325
19-98_neg_A_c2675.region001	330
19-114_neg_A_c571.region001	332
19-13.4_neg_A_c2274.region001	332
19-55_neg_A_c661.region001	332
19-98_neg_A_c2871.region001	332
19-13.4_neg_A_c4893.region001	333
19-55_neg_A_c505.region001	333
19-98_neg_A_c3158.region001	333
