#BGC Name	Family Number
19-12.2_neg_A_c1257.region001	77
19-197_neg_A_c1619.region001	77
19-12.2_neg_A_c4220.region001	89
19-131_neg_A_c1541.region001	112
19-12.2_neg_A_c5038.region001	122
19-131_neg_A_c530.region001	122
19-197_neg_A_c1263.region001	122
19-282_neg_A_c2785.region001	203
19-282_neg_A_c284.region001	205
19-282_neg_A_c3569.region001	217
19-282_neg_A_c3655.region001	219
19-282_neg_A_c392.region001	221
19-282_neg_A_c987.region001	229
19-338_neg_A_c5624.region001	242
17-10_neg_A_c2024.region001	252
19-10.1_neg_A_c1706.region001	252
19-196_neg_A_c8712.region001	252
19-282_neg_A_c879.region001	252
19-338_neg_A_c5636.region001	252
19-388_neg_A_c1551.region001	252
19-41.2_neg_A_c1247.region001	252
19-4_neg_A_c2066.region001	252
18-22_neg_A_c641.region001	309
19-84_neg_A_c706.region001	309
17-20_neg_A_c190.region001	316
19-10.1_neg_A_c2383.region001	316
19-251_neg_A_c2262.region001	316
19-282_neg_A_c2100.region001	316
19-8_neg_A_c3189.region001	316
