BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
17-10_neg_A_c1250.region001	c_000000001250	c_000000001250	microviridin	RiPPs		
17-20_neg_A_c190.region001	c_000000000190	c_000000000190	T1PKS.RRE-containing	Others		
17-20_neg_A_c209.region001	c_000000000209	c_000000000209	proteusin	RiPPs		
17-20_neg_A_c395.region001	c_000000000395	c_000000000395	RiPP-like	RiPPs		
17-20_neg_A_c470.region001	c_000000000470	c_000000000470	RRE-containing	RiPPs		
17-20_neg_A_c576.region001	c_000000000576	c_000000000576	cyanobactin	RiPPs		
18-22_neg_A_c1832.region001	c_000000001832	c_000000001832	lanthipeptide-class-ii	RiPPs		
18-22_neg_A_c2237.region001	c_000000002237	c_000000002237	NRPS.microviridin	Others		
18-22_neg_A_c2673.region001	c_000000002673	c_000000002673	RiPP-like	RiPPs		
18-22_neg_A_c2692.region001	c_000000002692	c_000000002692	cyanobactin	RiPPs		
18-22_neg_A_c436.region001	c_000000000436	c_000000000436	RRE-containing	RiPPs		
18-22_neg_A_c927.region001	c_000000000927	c_000000000927	microviridin	RiPPs		
18-22_neg_A_c98.region001	c_000000000098	c_000000000098	spliceotide	RiPPs		
19-10.1_neg_A_c1252.region001	c_000000001252	c_000000001252	RRE-containing	RiPPs		
19-10.1_neg_A_c2194.region001	c_000000002194	c_000000002194	spliceotide	RiPPs		
19-10.1_neg_A_c2210.region001	c_000000002210	c_000000002210	RRE-containing	RiPPs		
19-10.1_neg_A_c362.region001	c_000000000362	c_000000000362	cyanobactin	RiPPs		
19-10.1_neg_A_c854.region001	c_000000000854	c_000000000854	microviridin	RiPPs		
19-10.1_neg_A_c882.region001	c_000000000882	c_000000000882	cyanobactin	RiPPs		
19-114_neg_A_c571.region001	c_000000000571	c_000000000571	lanthipeptide-class-v	RiPPs		
19-114_neg_A_c736.region001	c_000000000736	c_000000000736	microviridin	RiPPs		
19-12.2_neg_A_c1309.region001	c_000000001309	c_000000001309	RRE-containing	RiPPs		
19-12.2_neg_A_c2240.region001	c_000000002240	c_000000002240	cyanobactin	RiPPs		
19-12.2_neg_A_c2607.region001	c_000000002607	c_000000002607	RiPP-like	RiPPs		
19-12.2_neg_A_c2896.region001	c_000000002896	c_000000002896	lanthipeptide-class-v	RiPPs		
19-12.2_neg_A_c2905.region001	c_000000002905	c_000000002905	microviridin	RiPPs		
19-12.2_neg_A_c2962.region001	c_000000002962	c_000000002962	microviridin	RiPPs		
19-12.2_neg_A_c653.region001	c_000000000653	c_000000000653	cyanobactin	RiPPs		
19-13.4_neg_A_c1759.region001	c_000000001759	c_000000001759	RRE-containing	RiPPs		
19-13.4_neg_A_c2274.region001	c_000000002274	c_000000002274	lanthipeptide-class-v	RiPPs		
19-13.4_neg_A_c3022.region001	c_000000003022	c_000000003022	RRE-containing	RiPPs		
19-13.4_neg_A_c4893.region001	c_000000004893	c_000000004893	cyanobactin	RiPPs		
19-131_neg_A_c1502.region001	c_000000001502	c_000000001502	cyanobactin	RiPPs		
19-131_neg_A_c278.region001	c_000000000278	c_000000000278	microviridin	RiPPs		
19-131_neg_A_c351.region001	c_000000000351	c_000000000351	cyanobactin	RiPPs		
19-131_neg_A_c462.region001	c_000000000462	c_000000000462	cyanobactin	RiPPs		
19-131_neg_A_c483.region001	c_000000000483	c_000000000483	RRE-containing.hglE-KS	Others		
19-131_neg_A_c518.region001	c_000000000518	c_000000000518	cyanobactin	RiPPs		
19-195_neg_A_c1006.region001	c_000000001006	c_000000001006	cyanobactin	RiPPs		
19-195_neg_A_c2209.region001	c_000000002209	c_000000002209	cyanobactin	RiPPs		
19-195_neg_A_c2516.region001	c_000000002516	c_000000002516	microviridin	RiPPs		
19-196_neg_A_c5123.region001	c_000000005123	c_000000005123	microviridin	RiPPs		
19-197_neg_A_c1433.region001	c_000000001433	c_000000001433	NRPS.microviridin	Others		
19-197_neg_A_c1596.region001	c_000000001596	c_000000001596	RRE-containing	RiPPs		
19-197_neg_A_c205.region001	c_000000000305	c_000000000305	microviridin	RiPPs		
19-197_neg_A_c41.region001	c_000000000041	c_000000000041	RiPP-like	RiPPs		
