#BGC Name	Family Number
17-10_neg_A_c2024.region001	5
19-338_neg_A_c5636.region001	5
19-388_neg_A_c1551.region001	5
19-4_neg_A_c2066.region001	5
17-20_neg_A_c190.region001	12
19-8_neg_A_c3189.region001	12
19-131_neg_A_c428.region001	117
19-131_neg_A_c483.region001	120
19-196_neg_A_c_1198.region001	149
18-22_neg_A_c2237.region001	246
19-197_neg_A_c1433.region001	246
19-388_neg_A_c1213.region001	246
17-10_neg_A_c2451.region001	284
19-114_neg_A_c554.region001	284
19-12.2_neg_A_c3730.region001	284
19-197_neg_A_c1661.region001	284
19-4_neg_A_c3108.region001	284
19-98_neg_A_c2675.region001	330
