#BGC Name	Family Number
17-10_neg_A_c2310.region001	7
19-4_neg_A_c9712.region001	7
BGC0001631.1	7
18-22_neg_A_c1071.region001	23
18-22_neg_A_c2667.region001	31
19-41.2_neg_A_c1142.region001	31
19-84_neg_A_c1417.region001	31
BGC0001016.1	31
BGC0001017.1	31
BGC0001667.1	31
BGC0001705.1	31
19-10.1_neg_A_c1622.region001	47
19-338_neg_A_c5166.region001	47
19-388_neg_A_c656.region001	47
19-41.2_neg_A_c1586.region001	47
19-114_neg_A_c292.region001	65
19-196_neg_A_c7534.region001	144
17-10_neg_A_c631.region001	159
19-114_neg_A_c336.region001	159
19-131_neg_A_c1521.region001	159
19-197_neg_A_c165.region001	159
19-4_neg_A_c10937.region001	159
17-10_neg_A_c1896.region001	287
17-20_neg_A_c348.region001	287
18-22_neg_A_c1592.region001	287
19-10.1_neg_A_c537.region001	287
19-114_neg_A_c1042.region001	287
19-12.2_neg_A_c2075.region001	287
19-131_neg_A_c1393.region001	287
19-195_neg_A_c1262.region001	287
19-196_neg_A_c219.region001	287
19-197_neg_A_c1710.region001	287
19-251_neg_A_c5428.region001	287
19-338_neg_A_c1352.region001	287
19-388_neg_A_c1527.region001	287
19-4_neg_A_c4680.region001	287
19-8_neg_A_c9506.region001	287
