BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
17-10_neg_A_c2024.region001	c_000000002024	c_000000002024	T1PKS.terpene	Others		
17-20_neg_A_c190.region001	c_000000000190	c_000000000190	T1PKS.RRE-containing	Others		
18-22_neg_A_c641.region001	c_000000000641	c_000000000641	T1PKS	PKSI		
19-10.1_neg_A_c1706.region001	c_000000001706	c_000000001706	T1PKS	PKSI		
19-10.1_neg_A_c2383.region001	c_000000002383	c_000000002383	T1PKS	PKSI		
19-12.2_neg_A_c1257.region001	c_000000001257	c_000000001257	T1PKS	PKSI		
19-12.2_neg_A_c4220.region001	c_000000004220	c_000000004220	T1PKS	PKSI		
19-12.2_neg_A_c5038.region001	c_000000005038	c_000000005038	T1PKS	PKSI		
19-131_neg_A_c1541.region001	c_000000001541	c_000000001541	T1PKS	PKSI		
19-131_neg_A_c530.region001	c_000000000530	c_000000000530	T1PKS	PKSI		
19-196_neg_A_c8712.region001	c_000000008712	c_000000008712	T1PKS	PKSI		
19-197_neg_A_c1263.region001	c_000000001263	c_000000001263	T1PKS	PKSI		
19-197_neg_A_c1619.region001	c_000000001619	c_000000001619	T1PKS	PKSI		
19-251_neg_A_c2262.region001	c_000000002262	c_000000002262	T1PKS	PKSI		
19-282_neg_A_c2100.region001	c_000000002100	c_000000002100	T1PKS	PKSI		
19-282_neg_A_c2785.region001	c_000000002785	c_000000002785	T1PKS	PKSI		
19-282_neg_A_c284.region001	c_000000000284	c_000000000284	T1PKS	PKSI		
19-282_neg_A_c3569.region001	c_000000003569	c_000000003569	T1PKS	PKSI		
19-282_neg_A_c3655.region001	c_000000003655	c_000000003655	T1PKS	PKSI		
19-282_neg_A_c392.region001	c_000000000392	c_000000000392	T1PKS	PKSI		
19-282_neg_A_c879.region001	c_000000000879	c_000000000879	T1PKS	PKSI		
19-282_neg_A_c987.region001	c_000000000987	c_000000000987	T1PKS	PKSI		
19-338_neg_A_c5624.region001	c_000000005624	c_000000005624	T1PKS	PKSI		
19-338_neg_A_c5636.region001	c_000000005636	c_000000005636	T1PKS.terpene	Others		
19-388_neg_A_c1551.region001	c_000000001551	c_000000001551	T1PKS.terpene	Others		
19-41.2_neg_A_c1247.region001	c_000000001247	c_000000001247	T1PKS	PKSI		
19-4_neg_A_c2066.region001	c_000000002066	c_000000002066	T1PKS.terpene	Others		
19-84_neg_A_c706.region001	c_000000000706	c_000000000706	T1PKS	PKSI		
19-8_neg_A_c3189.region001	c_000000003189	c_000000003189	T1PKS.RRE-containing	Others		
