BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
17-10_neg_A_c1120.region001	c_000000001120	c_000000001120	NRPS-like	NRPS		
17-10_neg_A_c1896.region001	c_000000001896	c_000000001896	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
17-10_neg_A_c2030.region001	c_000000002030	c_000000002030	NRPS	NRPS		
17-10_neg_A_c2310.region001	c_000000002310	c_000000002310	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids		
17-10_neg_A_c2451.region001	c_000000002451	c_000000002451	betalactone.NRPS	Others		
17-10_neg_A_c631.region001	c_000000000631	c_000000000631	T1PKS.NRPS	PKS-NRP_Hybrids		
17-10_neg_A_c986.region001	c_000000000986	c_000000000986	NRPS	NRPS		
17-20_neg_A_c348.region001	c_000000000348	c_000000000348	NRPS-like.T3PKS.T1PKS	PKS-NRP_Hybrids		
18-22_neg_A_c1071.region001	c_000000001071	c_000000001071	NRPS-like.T1PKS	PKS-NRP_Hybrids		
18-22_neg_A_c1592.region001	c_000000001592	c_000000001592	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
18-22_neg_A_c2121.region001	c_000000002121	c_000000002121	NRPS-like	NRPS		
18-22_neg_A_c2237.region001	c_000000002237	c_000000002237	NRPS.microviridin	Others		
18-22_neg_A_c2667.region001	c_000000002667	c_000000002667	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids		
18-22_neg_A_c3063.region001	c_000000003063	c_000000003063	NRPS	NRPS		
18-22_neg_A_c3066.region001	c_000000003066	c_000000003066	NRPS-like.NRPS	NRPS		
19-10.1_neg_A_c1090.region001	c_000000001090	c_000000001090	NRPS-like	NRPS		
19-10.1_neg_A_c1099.region001	c_000000001099	c_000000001099	NRPS	NRPS		
19-10.1_neg_A_c128.region001	c_000000000128	c_000000000128	NRPS-like	NRPS		
19-10.1_neg_A_c1289.region001	c_000000001289	c_000000001289	NRPS	NRPS		
19-10.1_neg_A_c1622.region001	c_000000001622	c_000000001622	T1PKS.NRPS.hglE-KS	PKS-NRP_Hybrids		
19-10.1_neg_A_c1915.region001	c_000000001915	c_000000001915	NRPS-like.NRPS	NRPS		
19-10.1_neg_A_c2246.region001	c_000000002246	c_000000002246	NRPS	NRPS		
19-10.1_neg_A_c243.region001	c_000000000243	c_000000000243	NRPS	NRPS		
19-10.1_neg_A_c274.region001	c_000000000274	c_000000000274	NRPS	NRPS		
19-10.1_neg_A_c281.region001	c_000000000281	c_000000000281	NRPS	NRPS		
19-10.1_neg_A_c337.region001	c_000000000337	c_000000000337	NRPS	NRPS		
19-10.1_neg_A_c537.region001	c_000000000537	c_000000000537	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-114_neg_A_c1042.region001	c_000000001042	c_000000001042	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-114_neg_A_c292.region001	c_000000000292	c_000000000292	NRPS-like.T1PKS	PKS-NRP_Hybrids		
19-114_neg_A_c336.region001	c_000000000336	c_000000000336	T1PKS.NRPS	PKS-NRP_Hybrids		
19-114_neg_A_c554.region001	c_000000000554	c_000000000554	betalactone.NRPS	Others		
19-12.2_neg_A_c1162.region001	c_000000001162	c_000000001162	NRPS-like	NRPS		
19-12.2_neg_A_c2075.region001	c_000000002075	c_000000002075	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-12.2_neg_A_c3730.region001	c_000000003730	c_000000003730	betalactone.NRPS	Others		
19-12.2_neg_A_c6301.region001	c_000000006301	c_000000006301	NRPS	NRPS		
