BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
17-10_neg_A_c1896.region001	c_000000001896	c_000000001896	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
17-10_neg_A_c2310.region001	c_000000002310	c_000000002310	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids		
17-10_neg_A_c631.region001	c_000000000631	c_000000000631	T1PKS.NRPS	PKS-NRP_Hybrids		
17-20_neg_A_c348.region001	c_000000000348	c_000000000348	NRPS-like.T3PKS.T1PKS	PKS-NRP_Hybrids		
17-20_neg_A_c400.region001	c_000000000400	c_000000000400	hglE-KS	PKSother		
17-20_neg_A_c414.region001	c_000000000414	c_000000000414	hglE-KS	PKSother		
18-22_neg_A_c1071.region001	c_000000001071	c_000000001071	NRPS-like.T1PKS	PKS-NRP_Hybrids		
18-22_neg_A_c1592.region001	c_000000001592	c_000000001592	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
18-22_neg_A_c2667.region001	c_000000002667	c_000000002667	NRPS-like.T1PKS.NRPS	PKS-NRP_Hybrids		
19-10.1_neg_A_c1023.region001	c_000000001023	c_000000001023	hglE-KS	PKSother		
19-10.1_neg_A_c1622.region001	c_000000001622	c_000000001622	T1PKS.NRPS.hglE-KS	PKS-NRP_Hybrids		
19-10.1_neg_A_c537.region001	c_000000000537	c_000000000537	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-114_neg_A_c1042.region001	c_000000001042	c_000000001042	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-114_neg_A_c292.region001	c_000000000292	c_000000000292	NRPS-like.T1PKS	PKS-NRP_Hybrids		
19-114_neg_A_c336.region001	c_000000000336	c_000000000336	T1PKS.NRPS	PKS-NRP_Hybrids		
19-114_neg_A_c719.region002	c_000000000719	c_000000000719	T3PKS	PKSother		
19-12.2_neg_A_c2075.region001	c_000000002075	c_000000002075	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
19-12.2_neg_A_c2399.region001	c_000000002399	c_000000002399	T3PKS	PKSother		
19-12.2_neg_A_c370.region001	c_000000000370	c_000000000370	T1PKS.hglE-KS	PKSother		
19-131_neg_A_c1393.region001	c_000000001393	c_000000001393	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids		
