#BGC Name	Family Number
17-10_neg_A_c1567.region001	74
19-114_neg_A_c982.region001	74
19-4_neg_A_c2797.region001	74
17-20_neg_A_c539.region001	118
19-114_neg_A_c719.region001	118
19-12.2_neg_A_c3755.region001	118
19-13.4_neg_A_c4720.region001	118
19-131_neg_A_c444.region001	118
17-10_neg_A_c1841.region001	123
17-20_neg_A_c97.region001	123
18-22_neg_A_c1752.region001	123
19-13.4_neg_A_c2633.region001	123
19-131_neg_A_c556.region001	123
19-197_neg_A_c134.region001	123
19-251_neg_A_c736.region001	123
19-41.2_neg_A_c722.region001	123
19-4_neg_A_c3972.region001	123
19-55_neg_A_c132.region001	123
19-8_neg_A_c5524.region001	123
19-98_neg_A_c2282.region001	123
17-10_neg_A_c779.region001	127
17-20_neg_A_c554.region001	127
18-22_neg_A_c231.region001	127
19-10.1_neg_A_c1442.region001	127
19-114_neg_A_c489.region001	127
19-12.2_neg_A_c6648.region001	127
19-13.4_neg_A_c6444.region001	127
19-131_neg_A_c1020.region001	127
19-195_neg_A_c2027.region001	127
19-197_neg_A_c1528.region001	127
19-251_neg_A_c362.region001	127
19-282_neg_A_c3129.region001	127
19-338_neg_A_c5286.region001	127
19-388_neg_A_c925.region001	127
19-41.2_neg_A_c238.region001	127
19-4_neg_A_c10749.region001	127
19-55_neg_A_c498.region001	127
19-84_neg_A_c1474.region001	127
19-8_neg_A_c2370.region001	127
19-98_neg_A_c2355.region001	127
19-196_neg_A_c4685.region001	139
19-196_neg_A_c8753.region001	146
17-10_neg_A_c2024.region001	180
18-22_neg_A_c1958.region001	180
19-10.1_neg_A_c1800.region001	180
19-195_neg_A_c598.region001	180
19-197_neg_A_c203.region001	180
19-251_neg_A_c5450.region001	180
19-41.2_neg_A_c874.region001	180
19-4_neg_A_c2066.region001	180
19-55_neg_A_c204.region001	180
19-10.1_neg_A_c1953.region001	247
19-114_neg_A_c981.region001	247
19-12.2_neg_A_c1213.region001	247
19-196_neg_A_c3660.region001	247
19-338_neg_A_c744.region001	247
19-388_neg_A_c1247.region001	247
19-84_neg_A_c1528.region001	247
19-196_neg_A_c7278.region001	252
19-282_neg_A_c2459.region001	252
19-338_neg_A_c5636.region001	252
19-388_neg_A_c1551.region001	252
19-8_neg_A_c6983.region001	252
19-98_neg_A_c1351.region001	252
19-84_neg_A_c1400.region001	301
