BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
17-10_neg_A_c2024.region001	c_000000002024	c_000000002024	T1PKS.terpene	Others		
17-10_neg_A_c2451.region001	c_000000002451	c_000000002451	betalactone.NRPS	Others		
17-20_neg_A_c190.region001	c_000000000190	c_000000000190	T1PKS.RRE-containing	Others		
18-22_neg_A_c2237.region001	c_000000002237	c_000000002237	NRPS.microviridin	Others		
19-114_neg_A_c554.region001	c_000000000554	c_000000000554	betalactone.NRPS	Others		
19-12.2_neg_A_c3730.region001	c_000000003730	c_000000003730	betalactone.NRPS	Others		
19-131_neg_A_c428.region001	c_000000000428	c_000000000428	betalactone.NRPS-like.NRPS	Others		
19-131_neg_A_c483.region001	c_000000000483	c_000000000483	RRE-containing.hglE-KS	Others		
19-196_neg_A_c_1198.region001	c_000000001198	c_000000001198	betalactone.NRPS	Others		
19-197_neg_A_c1433.region001	c_000000001433	c_000000001433	NRPS.microviridin	Others		
19-197_neg_A_c1661.region001	c_000000001661	c_000000001661	betalactone.NRPS	Others		
19-338_neg_A_c5636.region001	c_000000005636	c_000000005636	T1PKS.terpene	Others		
19-388_neg_A_c1213.region001	c_000000001213	c_000000001213	NRPS.microviridin	Others		
19-388_neg_A_c1551.region001	c_000000001551	c_000000001551	T1PKS.terpene	Others		
19-4_neg_A_c2066.region001	c_000000002066	c_000000002066	T1PKS.terpene	Others		
19-4_neg_A_c3108.region001	c_000000003108	c_000000003108	betalactone.NRPS	Others		
19-8_neg_A_c3189.region001	c_000000003189	c_000000003189	T1PKS.RRE-containing	Others		
19-98_neg_A_c2675.region001	c_000000002675	c_000000002675	NRPS-like.microviridin	Others		
BGC0000002.1	BGC0000002.1	Kutzneria albida DSM 43870, complete genome	T1PKS.oligosaccharide	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
BGC0000005.1	BGC0000005.1	Aspergillus parasiticus strain ATCC 56775 aflatoxin biosynthetic gene cluster, partial sequence		Others	Aspergillus parasiticus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000010.1	BGC0000010.1	Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence		Others	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000016.1	BGC0000016.1	Streptomyces nodosus amphotericin biosynthetic gene cluster, partial sequence		Others	Streptomyces nodosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000019.1	BGC0000019.1	Streptomyces eurythermus angolamycin biosynthesis gene cluster, complete sequence		Others	Streptomyces eurythermus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000025.1	BGC0000025.1	Streptomyces avermitilis avermectin biosynthetic gene cluster (orf1, aveBI, aveBII, aveBIII, aveBIV, aveBV, aveBVI, aveBVII, aveBVIII), complete cds		Others	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000026.1	BGC0000026.1	Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence	T1PKS.PKS-like.oligosaccharide	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000033.1	BGC0000033.1	Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence	T1PKS.PKS-like.oligosaccharide	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000038.1	BGC0000038.1	Streptomyces coelicolor A3(2) complete genome	butyrolactone.T1PKS	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000078.1	BGC0000078.1	Streptomyces sp. ML694-90F3 DNA, incednine biosynthetic gene cluster	T1PKS.oligosaccharide	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000081.1	BGC0000081.1	Streptoalloteichus sp. ATCC 53650 kedarcidin biosynthetic gene cluster, complete sequence	T1PKS.arylpolyene.NRPS	Others	Streptoalloteichus sp. ATCC 53650	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus
BGC0000082.1	BGC0000082.1	Actinomadura kijaniata fructokinase gene, partial cds; kijanimicin gene cluster, complete sequence; and D-ala, D-ala carboxypeptidase, conserved hypothetical protein, permease, and selenium binding protein genes, complete cds	T1PKS.oligosaccharide	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
